Rank	Player	Team	Position(s)	ADP	Min Pick	Max Pick	Difference	# Picks	Team	Team Pick
89	Marte, Ketel	ARZ	2B, OF	87.08	75	100		13		
90	Witt Jr., Bobby	KC	SS	91.00	77	103		13		
91	Abreu, Jose	CWS	1B	92.31	72	106		13		
92	Castillo, Luis	CIN	P	93.38	76	102		13		
93	Darvish, Yu	SD	P	93.38	79	103		13		
94	Martinez, J.D.	BOS	OF	93.54	89	104		13		
95	Reynolds, Bryan	PIT	OF	94.85	80	105		13		
96	Morton, Charlie	ATL	P	95.31	85	112		13		
97	Bellinger, Cody	LAD	OF	97.92	90	111		13		
98	Bregman, Alex	HOU	3B	97.92	84	119		13		
99	Verlander, Justin	HOU	P	98.38	77	117		13		
100	Manoah, Alek	TOR	P	98.54	86	113		13		
101	Varsho, Daulton	ARZ	C, OF	100.38	85	112		13		
102	Yelich, Christian	MLW	OF	100.92	86	112		13		
103	Bryant, Kris	SF	3B, OF	105.00	100	119		13		
104	McClanahan, Shane	TB	P	105.69	96	118		13		
105	Correa, Carlos	HOU	SS	106.46	82	127		13		
106	Snell, Blake	SD	P	109.08	101	119		13		
107	Grandal, Yasmani	CWS	C	109.23	93	124		13		
108	Stanton, Giancarlo	NYY	OF	112.31	101	134		13		
109	Winker, Jesse	CIN	OF	112.31	98	126		13		
110	Kimbrel, Craig	CWS	P	112.46	93	141		13		
111	Straw, Myles	CLE	OF	113.62	100	130		13		
112	Mountcastle, Ryan	BAL	1B, OF	113.62	102	141		13		
113	Rendon, Anthony	LAA	3B	115.15	91	132		13		
114	Contreras, Willson	CHC	C	116.08	106	126		13		
115	Melancon, Mark	ARZ	P	116.77	104	153		13		
116	Swanson, Dansby	ATL	SS	116.85	90	131		13		
117	Eovaldi, Nathan	BOS	P	118.92	113	126		13		
118	LeMahieu, DJ	NYY	1B, 2B, 3B	121.15	101	145		13		
119	Baz, Shane	TB	P	123.46	112	140		13		
120	Grisham, Trent	SD	OF	124.62	108	143		13		
121	Adames, Willy	MLW	SS	125.31	109	134		13		
122	Gallen, Zac	ARZ	P	126.38	108	150		13		
123	Walsh, Jared	LAA	1B	126.62	113	137		13		
124	Haniger, Mitch	SEA	OF	126.77	103	149		13		
125	Cronenworth, Jake	SD	1B, 2B, SS	126.92	104	151		13		
126	Bell, Josh	WAS	1B	128.54	121	139		13		
127	Cron, C.J.	COL	1B	129.31	112	146		13		
128	Hayes, Ke'Bryan	PIT	3B	129.92	109	142		13		
129	Mahle, Tyler	CIN	P	130.00	101	165		13		
130	Knebel, Corey	PHI	P	130.46	112	164		13		
131	Schwarber, Kyle	BOS	OF	130.85	113	167		13		
132	Bassitt, Chris	OAK	P	132.08	116	157		13		
133	Manaea, Sean	OAK	P	133.15	102	156		13		
134	Taylor, Chris	LAD	2B, SS, OF	133.77	122	145		13		
135	Reyes, Franmil	CLE	UT	136.77	106	159		13		
136	Kelenic, Jarred	SEA	OF	137.31	115	170		13		
137	Hoskins, Rhys	PHI	1B	137.46	120	156		13		
138	Rodon, Carlos	CWS	P	138.77	119	170		13		
139	Baddoo, Akil	DET	OF	139.85	106	177		13		
140	Lopez, Pablo	MIA	P	141.92	116	176		13		
141	Gurriel Jr., Lourdes	TOR	OF	142.54	120	161		13		
142	Valdez, Framber	HOU	P	142.92	120	164		13		
143	Rosario, Amed	CLE	SS	143.38	120	158		13		
144	Torres, Gleyber	NYY	SS	143.54	132	163		13		
145	Garcia, Luis	HOU	P	145.15	122	169		13		
146	Treinen, Blake	LAD	P	145.92	125	177		13		
147	Gilbert, Logan	SEA	P	146.08	111	176		13		
148	Votto, Joey	CIN	1B	147.00	137	159		13		
149	Barlow, Scott	KC	P	148.69	131	173		13		
150	Doval, Camilo	SF	P	149.54	116	185		13		
151	France, Ty	SEA	1B, 2B	150.62	125	185		13		
152	Rodriguez, Eduardo	DET	P	150.77	128	170		13		
153	Urias, Luis	MLW	2B, 3B, SS	151.31	140	163		13		
154	Moncada, Yoan	CWS	3B	156.62	132	180		13		
155	Stephenson, Tyler	CIN	C, 1B	158.38	144	180		13		
156	Anderson, Ian	ATL	P	158.46	122	183		13		
157	Meadows, Austin	TB	OF	160.15	137	180		13		
158	Kopech, Michael	CWS	P	161.23	118	189		13		
159	Rogers, Taylor	MIN	P	162.77	125	199		13		
160	Ruiz, Keibert	WAS	C	163.54	145	182		13		
161	Verdugo, Alex	BOS	OF	163.69	147	192		13		
162	McMahon, Ryan	COL	2B, 3B	164.00	153	176		13		
163	Garcia, Avisail	MIA	OF	164.23	142	191		13		
164	Rosario, Eddie	ATL	OF	164.54	147	196		13		
165	Soto, Gregory	DET	P	164.92	143	203		13		
166	Gray, Sonny	CIN	P	165.15	148	184		13		
167	Renfroe, Hunter	MLW	OF	165.31	123	191		13		
168	Muncy, Max	LAD	1B, 2B	166.00	135	213		13		
169	Bednar, David	PIT	P	166.62	150	202		13		
170	Turner, Justin	LAD	3B	169.38	150	188		13		
171	Suarez, Ranger	PHI	P	171.23	148	203		13		
172	Grossman, Robbie	DET	OF	171.31	158	189		13		
173	Wong, Kolten	MLW	2B	172.62	158	188		13		
174	Rodgers, Brendan	COL	2B, SS	174.15	154	196		13		
175	McCullers Jr., Lance	HOU	P	176.23	146	209		13		
176	Carlson, Dylan	STL	OF	176.62	140	193		13		
177	Kershaw, Clayton	LAD	P	178.23	136	217		13		
178	Benintendi, Andrew	KC	OF	178.77	167	190		13		
179	Segura, Jean	PHI	2B	180.08	168	192		13		
180	Garcia, Adolis	TEX	OF	180.62	138	220		13		
181	Severino, Luis	NYY	P	182.23	150	222		13		
182	Skubal, Tarik	DET	P	183.00	165	205		13		
183	Rizzo, Anthony	NYY	1B	184.85	155	216		13		
184	Happ, Ian	CHC	OF	187.46	180	203		13		
185	Stroman, Marcus	CHC	P	188.08	160	233		13		
186	Chapman, Matt	OAK	3B	188.62	142	237		13		
187	Gallo, Joey	NYY	OF	194.00	167	217		13		
188	Cruz, Nelson	TB	UT	194.38	173	242		13		
189	Mancini, Trey	BAL	1B	194.54	166	228		13		
190	Sandoval, Patrick	LAA	P	195.46	173	206		13		
191	Ozuna, Marcell	ATL	OF	195.69	174	216		13		
192	Kirilloff, Alex	MIN	1B, OF	196.00	167	235		13		
193	Garver, Mitch	MIN	C	196.23	163	256		13		
194	Sims, Lucas	CIN	P	197.31	166	239		13		
195	Conforto, Michael	NYM	OF	197.62	165	215		13		
196	Houck, Tanner	BOS	P	198.23	166	247		13		
197	Montgomery, Jordan	NYY	P	201.15	178	220		13		
198	Schoop, Jonathan	DET	1B, 2B	201.31	179	219		13		
199	Ryu, Hyun Jin	TOR	P	203.08	178	248		13		
200	Soler, Jorge	ATL	OF	203.15	178	238		13		
201	Barlow, Joe	TEX	P	203.62	160	288		13		
202	Clevinger, Mike	SD	P	204.08	173	275		13		
203	Suarez, Eugenio	CIN	3B, SS	205.54	188	220		13		
204	Suzuki, Seiya	FA	OF	206.62	175	238		13		
205	Donaldson, Josh	MIN	3B	207.31	187	231		13		
206	Gurriel, Yuli	HOU	1B	207.31	179	251		13		
207	Escobar, Eduardo	NYM	2B, 3B	207.38	178	240		13		
208	Rutschman, Adley	BAL	C	207.62	162	253		13		
209	Floro, Dylan	MIA	P	208.15	168	238		13		
210	Crawford, Brandon	SF	SS	209.69	146	232		13		
211	Cruz, Oneil	PIT	SS	210.38	188	246		13		
212	Pollock, AJ	LAD	OF	211.46	193	226		13		
213	Candelario, Jeimer	DET	3B	215.77	188	238		13		
214	Wood, Alex	SF	P	216.23	193	237		13		
215	Wainwright, Adam	STL	P	216.62	193	260		13		
216	Bader, Harrison	STL	OF	217.23	181	255		13		
217	Ryan, Joe	MIN	P	220.15	182	258		13		
218	DeSclafani, Anthony	SF	P	220.38	201	240		13		
219	Belt, Brandon	SF	1B	220.69	179	250		13		
220	Means, John	BAL	P	222.38	202	247		13		
221	Whitlock, Garrett	BOS	P	224.00	183	257		13		
222	Dalbec, Bobby	BOS	1B	224.69	198	243		13		
223	Urquidy, Jose	HOU	P	225.85	201	253		13		
224	Hernandez, Enrique	BOS	2B, OF	225.85	205	251		13		
225	McKenzie, Triston	CLE	P	226.92	199	247		13		
226	Sanchez, Jesus	MIA	OF	227.23	201	252		13		
227	Lowe, Nathaniel	TEX	1B	227.23	208	264		13		
228	Rojas, Josh	ARZ	2B, SS, OF	227.69	211	254		13		
229	Hays, Austin	BAL	OF	227.85	204	247		13		
230	Vazquez, Christian	BOS	C	228.00	201	259		13		
231	Cobb, Alex	SF	P	228.23	199	247		13		
232	Lux, Gavin	LAD	2B, SS	228.69	185	265		13		
233	Laureano, Ramon	OAK	OF	229.38	210	282		13		
234	Lopez, Nicky	KC	SS	231.77	172	305		13		
235	Kirk, Alejandro	TOR	C	232.38	188	263		13		
236	d'Arnaud, Travis	ATL	C	236.62	187	272		13		
237	Duvall, Adam	ATL	OF	236.62	211	281		13		
238	Schwindel, Frank	CHC	1B	237.69	199	267		13		
239	Syndergaard, Noah	LAA	P	238.38	181	263		13		
240	Blackmon, Charlie	COL	OF	238.77	214	276		13		
241	Ynoa, Huascar	ATL	P	240.92	189	274		13		
242	Pham, Tommy	SD	OF	243.31	209	274		13		
243	Adell, Jo	LAA	OF	244.62	218	267		13		
244	Gray, Jon	TEX	P	246.92	232	262		13		
245	Gimenez, Andres	CLE	2B, SS	247.00	217	274		13		
246	Trivino, Lou	OAK	P	247.46	194	291		13		
247	Thomas, Lane	WAS	OF	247.92	224	314		13		
248	Bauer, Trevor	LAD	P	248.62	133	360		13		
249	Matz, Steven	STL	P	249.23	208	272		13		
250	Brantley, Michael	HOU	OF	249.69	220	281		13		
251	Ober, Bailey	MIN	P	250.92	228	281		13		
252	Murphy, Sean	OAK	C	253.15	234	272		13		
253	Diaz, Elias	COL	C	253.46	227	288		13		
254	Tapia, Raimel	COL	OF	253.92	196	287		13		
255	Sano, Miguel	MIN	1B	254.69	226	288		13		
256	McGee, Jake	SF	P	254.77	108	302		13		
257	Vaughn, Andrew	CWS	OF	257.08	219	299		13		
258	Toro, Abraham	SEA	2B, 3B	259.00	224	312		13		
259	Kittredge, Andrew	TB	P	259.38	196	294		13		
260	Hampson, Garrett	COL	2B, OF	260.62	236	279		13		
261	Barnes, Matt	BOS	P	261.23	205	329		13		
262	Sanchez, Gary	NYY	C	263.62	246	287		13		
263	Villar, Jonathan	NYM	3B, SS	264.92	226	309		13		
264	Torkelson, Spencer	DET	1B	266.23	212	310		13		
265	Santander, Anthony	BAL	OF	267.69	241	306		13		
266	Canha, Mark	NYM	OF	268.31	243	286		13		
267	Narvaez, Omar	MLW	C	271.85	254	304		13		
268	Gray, Josiah	WAS	P	272.77	257	300		13		
269	Voit, Luke	NYY	1B	273.31	241	302		13		
270	Rasmussen, Drew	TB	P	273.46	241	323		13		
271	Myers, Wil	SD	OF	273.85	258	293		13		
272	Kepler, Max	MIN	OF	275.38	250	298		13		
273	Ashby, Aaron	MLW	P	275.46	237	310		13		
274	Mize, Casey	DET	P	276.85	221	314		13		
275	Rodriguez, Julio	SEA	OF	276.92	215	330		13		
276	Quantrill, Cal	CLE	P	277.54	230	334		13		
277	Marquez, German	COL	P	280.00	241	325		13		
278	Civale, Aaron	CLE	P	280.23	241	331		13		
279	Heaney, Andrew	LAD	P	280.31	237	319		13		
280	Kelly, Carson	ARZ	C	281.08	264	314		13		
281	Zunino, Mike	TB	C	283.85	251	335		13		
282	Aguilar, Jesus	MIA	1B	283.92	255	318		13		
283	Yastrzemski, Mike	SF	OF	284.62	260	303		13		
284	Carrasco, Carlos	NYM	P	284.77	249	310		13		
285	Nimmo, Brandon	NYM	OF	284.77	253	318		13		
286	Hendricks, Kyle	CHC	P	285.15	245	341		13		
287	Biggio, Cavan	TOR	3B	286.00	232	328		13		
288	Giles, Ken	SEA	P	287.38	240	334		13		
289	Wick, Rowan	CHC	P	289.08	246	335		13		
290	Madrigal, Nick	CHC	2B	289.77	264	312		13		
291	Urshela, Gio	NYY	3B, SS	290.31	254	313		13		
292	Jung, Josh	TEX	3B	291.23	242	332		13		
293	Stassi, Max	LAA	C	292.69	243	356		13		
294	Luzardo, Jesus	MIA	P	293.46	274	344		13		
295	Williams, Devin	MLW	P	293.62	256	321		13		
296	Bohm, Alec	PHI	3B	294.38	257	344		13		
297	Taillon, Jameson	NYY	P	294.69	269	334		13		
298	Tellez, Rowdy	MLW	1B	295.23	268	326		13		
299	Greene, Riley	DET	OF	296.54	263	338		13		
300	Sewald, Paul	SEA	P	300.23	226	336		13		
301	Patino, Luis	TB	P	301.77	274	329		13		
302	Jansen, Danny	TOR	C	302.23	262	371		13		
303	Arraez, Luis	MIN	2B, 3B, OF	302.92	276	332		13		
304	Kennedy, Ian	PHI	P	304.38	214	364		13		
305	Ortega, Rafael	CHC	OF	304.54	228	332		13		
306	Megill, Tylor	NYM	P	306.31	271	337		13		
307	Wade Jr., LaMonte	SF	1B, OF	306.69	277	345		13		
308	Strasburg, Stephen	WAS	P	306.92	243	370		13		
309	Lauer, Eric	MLW	P	307.85	270	334		13		
310	Lewis, Kyle	SEA	OF	309.00	286	347		13		
311	Molina, Yadier	STL	C	310.69	274	349		13		
312	Bart, Joey	SF	C	311.77	263	381		13		
313	Haase, Eric	DET	C, OF	312.23	271	371		13		
314	McNeil, Jeff	NYM	2B, OF	313.62	275	345		13		
315	Gonsolin, Tony	LAD	P	315.69	301	336		13		
316	Hernandez, Cesar	WAS	2B	316.23	252	366		13		
317	McCann, James	NYM	C	318.15	289	378		13		
318	Crawford, J.P.	SEA	SS	320.08	254	424		13		
319	Margot, Manuel	TB	OF	321.85	278	363		13		
320	Javier, Cristian	HOU	P	322.00	290	351		13		
321	Kikuchi, Yusei	SEA	P	322.92	300	360		13		
322	Rojas, Miguel	MIA	SS	323.38	291	379		13		
323	Marsh, Brandon	LAA	OF	323.46	285	368		13		
324	Frazier, Adam	SEA	2B	324.15	258	375		13		
325	Gonzales, Marco	SEA	P	324.23	286	358		13		
326	Joe, Connor	COL	OF	325.69	276	365		13		
327	Naquin, Tyler	CIN	OF	325.69	304	350		13		
328	Tsutsugo, Yoshi	PIT	1B, OF	326.31	286	378		13		
329	Fulmer, Michael	DET	P	326.85	298	370		13		
330	Wisdom, Patrick	CHC	3B	327.69	253	364		13		
331	Pivetta, Nick	BOS	P	328.38	304	353		13		
332	Hernandez, Elieser	MIA	P	330.62	275	375		13		
333	Brujan, Vidal	TB	OF	330.77	285	375		13		
334	Plesac, Zach	CLE	P	335.62	302	385		13		
335	Cain, Lorenzo	MLW	OF	336.08	292	369		13		
336	Fletcher, David	LAA	2B, SS	337.00	305	397		13		
337	Hosmer, Eric	SD	1B	338.69	291	392		13		
338	McCutchen, Andrew	PHI	OF	340.08	307	359		13		
339	Grichuk, Randal	TOR	OF	342.38	299	395		13		
340	Greinke, Zack	HOU	P	343.62	286	380		13		
341	Dozier, Hunter	KC	3B, OF	344.38	303	374		13		
342	Longoria, Evan	SF	3B	344.92	324	393		13		
343	Alzolay, Adbert	CHC	P	345.31	318	395		13		
344	Rainey, Tanner	WAS	P	345.46	321	360		13		
345	Moustakas, Mike	CIN	3B	345.77	324	381		13		
346	Diaz, Yandy	TB	1B, 3B	349.69	323	399		13		
347	Nola, Austin	SD	C	350.15	271	429		13		
348	Kim, Ha-Seong	SD	2B, 3B, SS	350.92	294	400		13		
349	Kaprielian, James	OAK	P	351.23	288	420		13		
350	Wendle, Joey	MIA	3B, SS	351.69	282	383		13		
351	Walker, Taijuan	NYM	P	353.69	303	377		13		
352	Kluber, Corey	TB	P	354.77	332	385		13		
353	Gomes, Yan	CHC	C	356.54	300	454		13		
354	Reyes, Alex	STL	P	359.54	318	431		13		
355	Wells, Tyler	BAL	P	359.92	316	390		13		
356	Smith, Dominic	NYM	OF	360.08	294	401		13		
357	Cortes Jr., Nestor	NYY	P	363.69	317	410		13		
358	Barrero, Jose	CIN	SS	363.77	331	431		13		
359	Finnegan, Kyle	WAS	P	365.23	293	464		13		
360	Lowe, Josh	TB	OF	365.69	308	420		13		
361	Kiner-Falefa, Isiah	TEX	SS	366.46	311	408		13		
362	Sanchez, Sixto	MIA	P	367.08	326	439		13		
363	Gibson, Kyle	PHI	P	367.69	336	408		13		
364	Smith, Pavin	ARZ	1B, OF	369.77	320	397		13		
365	Duran, Jarren	BOS	OF	370.00	315	434		13		
366	Solak, Nick	TEX	2B	370.38	325	409		13		
367	Stallings, Jacob	MIA	C	372.08	320	442		13		
368	Paddack, Chris	SD	P	374.38	337	437		13		
369	Anderson, Brian	MIA	3B	375.15	336	415		13		
370	Hernandez, Carlos	KC	P	377.15	347	406		13		
371	Flores, Wilmer	SF	1B, 2B, 3B	377.38	343	402		13		
372	Calhoun, Willie	TEX	OF	377.46	347	418		13		
373	Dunning, Dane	TEX	P	378.23	334	421		13		
374	Castillo, Diego	SEA	P	378.46	315	425		13		
375	Alcala, Jorge	MIN	P	378.54	353	429		13		
376	Harrison, Josh	OAK	2B, 3B, OF	380.15	339	434		13		
377	Alfaro, Jorge	SD	C, OF	381.54	351	433		13		
378	Kemp, Tony	OAK	2B, OF	382.85	353	411		13		
379	Hilliard, Sam	COL	OF	384.15	326	452		13		
380	Miranda, Jose	MIN	3B	384.85	345	414		13		
381	Taylor, Tyrone	MLW	OF	386.15	349	419		13		
382	Green, Chad	NYY	P	388.08	346	433		13		
383	Hoerner, Nico	CHC	2B	388.85	335	442		13		
384	Singer, Brady	KC	P	390.23	348	422		13		
385	Bender, Anthony	MIA	P	390.54	350	419		13		
386	Loaisiga , Jonathan	NYY	P	390.54	333	438		13		
387	German, Domingo	NYY	P	391.00	352	429		13		
388	Flexen, Chris	SEA	P	392.23	350	450		13		
389	McCormick, Chas	HOU	OF	393.31	339	439		13		
390	Barnhart, Tucker	DET	C	393.69	358	435		13		
391	Robles, Victor	WAS	OF	395.23	327	458		13		
392	Frazier, Clint	CHC	OF	395.54	356	429		13		
393	Suarez, Robert	SD	P	396.69	277	530		13		
394	Lamet, Dinelson	SD	P	397.31	342	464		13		
395	Corbin, Patrick	WAS	P	397.31	354	425		13		
396	Hudson, Dakota	STL	P	399.38	332	446		13		
397	Detmers, Reid	LAA	P	399.38	368	429		13		
398	Mateo, Jorge	BAL	OF	399.77	350	484		13		
399	Estevez, Carlos	COL	P	401.62	334	459		13		
400	Houser, Adrian	MLW	P	403.85	341	447		13		
401	Steckenrider, Drew	SEA	P	404.08	292	468		13		
402	Pineda, Michael	MIN	P	404.69	369	478		13		
403	Ruf, Darin	SF	1B, OF	405.69	341	458		13		
404	Torrens, Luis	SEA	C	408.62	352	407		12		
405	Senzel, Nick	CIN	OF	409.92	367	512		13		
406	Taylor, Michael A.	KC	OF	410.62	353	445		12		
407	Davis, J.D.	NYM	3B	411.92	338	450		13		
408	Greene, Hunter	CIN	P	412.08	335	466		13		
409	Johnson, Pierce	SD	P	412.46	297	471		13		
410	Hill, Rich	BOS	P	414.62	253	463		13		
411	DeJong, Paul	STL	SS	422.54	354	441		12		
412	Hiura, Keston	MLW	1B	423.62	364	558		13		
413	Contreras, Roansy	PIT	P	425.08	367	472		13		
414	Walker, Christian	ARZ	1B	425.54	367	438		12		
415	Karinchak, James	CLE	P	426.23	389	483		13		
416	Weaver, Luke	ARZ	P	426.77	412	448		13		
417	Bundy, Dylan	MIN	P	427.54	337	460		13		
418	Gregorius, Didi	PHI	SS	428.85	331	506		13		
419	Zimmer, Bradley	CLE	OF	429.00	343	468		13		
420	Wade, Tyler	LAA	3B, SS, OF	429.15	409	451		13		
421	Bradley, Bobby	CLE	1B	432.15	343	450		12		
422	Minor, Mike	KC	P	432.92	362	488		13		
423	De La Cruz, Bryan	MIA	OF	433.00	379	487		13		
424	Calhoun, Kole	TEX	OF	434.15	395	508		13		
425	Melendez, MJ	KC	C	435.23	362	468		12		
426	Miley, Wade	CHC	P	437.23	380	475		13		
427	Pederson, Joc	ATL	OF	438.15	357	465		12		
428	Mikolas, Miles	STL	P	440.38	387	473		13		
429	Heim, Jonah	TEX	C	441.00	383	444		12		
430	Colome, Alex	MIN	P	445.31	410	501		13		
431	Staumont, Josh	KC	P	445.62	366	499		12		
432	Sulser, Cole	BAL	P	446.15	389	536		13		
433	Pena, Jeremy	HOU	SS	446.77	345	479		12		
434	Sheets, Gavin	CWS	UT	446.92	402	502		13		
435	Stott, Bryson	PHI	SS	447.31	386	483		12		
436	Moore, Dylan	SEA	2B, OF	451.85	381	471		12		
437	Sosa, Edmundo	STL	2B, SS	453.46	352	435		11		
438	Santana, Carlos	KC	1B	455.85	384	477		12		
439	Garcia, Leury	CWS	2B, OF	455.85	423	502		13		
440	Rosenthal, Trevor	OAK	P	460.62	259	543		13		
441	Pearson, Nate	TOR	P	462.38	400	490		12		
442	Stratton, Chris	PIT	P	462.69	377	537		13		
443	Mejia, Francisco	TB	C	462.69	350	469		11		
444	Urias, Ramon	BAL	2B, SS	466.08	382	435		11		
445	Wacha, Michael	BOS	P	468.15	415	492		12		
446	Warren, Art	CIN	P	470.38	423	530		13		
447	Rodriguez, Grayson	BAL	P	472.38	341	562		12		
448	Cooper, Garrett	MIA	OF	472.69	409	507		12		
449	Isbel, Kyle	KC	OF	472.77	410	478		12		
450	Bumgarner, Madison	ARZ	P	473.23	369	514		12		
451	Odor, Rougned	BAL	2B, 3B	473.38	387	448		11		
452	Beede, Tyler	SF	P	475.54	428	524		13		
453	Martinez, Nick	FA	P	476.31	410	496		12		
454	Garcia, Luis	WAS	2B	477.46	399	525		12		
455	Brown, Seth	OAK	OF	479.23	389	488		11		
456	Peralta, David	ARZ	OF	479.77	381	455		11		
457	Espinal, Santiago	TOR	3B	480.46	427	500		12		
458	Cabrera, Edward	MIA	P	484.69	426	520		12		
459	Yepez, Juan	STL	1B	486.15	425	511		12		
460	Brubaker, JT	PIT	P	489.38	383	473		11		
461	Cano, Robinson	NYM	2B	489.54	355	516		12		
462	Thompson, Zach	PIT	P	490.23	421	526		12		
463	Kieboom, Carter	WAS	3B	493.08	411	488		11		
464	Hicks, Aaron	NYY	OF	494.38	391	503		11		
465	Jeffers, Ryan	MIN	C	496.15	398	493		11		
466	Gil, Luis	NYY	P	497.54	363	569		12		
467	Taveras, Leody	TEX	OF	499.69	401	544		12		
468	La Stella, Tommy	SF	2B	500.00	396	506		12		
469	Profar, Jurickson	SD	1B, OF	500.15	421	483		11		
470	Kelly, Merrill	ARZ	P	501.62	412	518		11		
471	Hand, Brad	NYM	P	501.85	408	534		12		
472	Severino, Pedro	MLW	C	503.92	416	527		11		
